station_id,station_name,state,start_date,end_date,latitude,longitude,in_basins,break_with_basins,network
69015093121,TWENTY NINE PALMS,CA,1990-01-02 00:00:00,2020-10-15 00:00:00,+34.300,-116.167,False,False,isd
69019013910,ABILENE DYESS AFB,TX,1943-12-01 00:00:00,2009-12-31 00:00:00,+32.433,-099.850,False,False,isd
69023024255,WHIDBEY ISLAND NAS,WA,1989-12-01 00:00:00,2009-06-02 00:00:00,+48.350,-122.667,False,False,isd
69960403145,YUMA MCAS,AZ,1987-07-01 00:00:00,2009-12-31 00:00:00,+32.650,-114.617,False,False,isd
70000126492,PORTAGE GLACIER,AK,2006-01-01 00:00:00,2020-10-14 00:00:00,+60.785,-148.839,False,False,isd
70019726558,SELAWIK,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+66.600,-159.986,False,False,isd
70026027502,W POST-WILL ROGERS MEMORIAL A,AK,1945-01-01 00:00:00,2020-10-15 00:00:00,+71.283,-156.782,False,False,isd
70030027503,WAINWRIGHT AIRPORT,AK,1999-11-02 00:00:00,2020-10-01 00:00:00,+70.639,-159.995,False,False,isd
70063226645,BUCKLAND AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+65.983,-161.133,False,False,isd
70063727406,DEADHORSE AIRPORT,AK,1973-01-01 00:00:00,2020-10-15 00:00:00,+70.192,-148.477,True,False,isd
70063899999,FALSE PASS,AK,1973-01-01 00:00:00,2019-08-01 00:00:00,+54.850,-163.417,False,False,isd
70086027401,BARTER ISLAND AIRPORT,AK,1947-10-01 00:00:00,2020-10-15 00:00:00,+70.134,-143.577,False,False,isd
70104026631,CAPE LISBURNE LRRS AIRPORT,AK,2006-01-01 00:00:00,2020-10-14 00:00:00,+68.867,-166.133,False,False,isd
70104326623,POINT HOPE AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+68.350,-166.800,False,False,isd
70119526625,SHISHMAREF/NEW AIRPORT,AK,2006-01-01 00:00:00,2020-02-27 00:00:00,+66.250,-166.089,False,False,isd
70119600102,BOB BARKER MEMORIAL AIRPORT,AK,2008-08-22 00:00:00,2020-10-15 00:00:00,+66.983,-160.433,False,False,isd
70121026624,POINT LAY LRRS AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+69.733,-163.005,False,False,isd
70133026616,RALPH WIEN MEMORIAL AIRPORT,AK,1973-01-01 00:00:00,2020-10-15 00:00:00,+66.867,-162.633,False,False,isd
70133326643,DEERING AIRPORT,AK,1999-01-02 00:00:00,2020-10-15 00:00:00,+66.069,-162.764,False,False,isd
70133526648,NOATAK AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+67.566,-162.975,False,False,isd
70133700103,WALES AIRPORT,AK,2009-01-22 00:00:00,2020-10-15 00:00:00,+65.617,-168.100,False,False,isd
70133899999,CHEVAK AIRPORT,AK,2009-02-10 00:00:00,2020-10-14 00:00:00,+61.533,-165.583,False,False,isd
70148626642,KIVALINA AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+67.732,-164.548,False,False,isd
70162526542,ANAKTUVUK PASS AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+68.167,-151.767,False,False,isd
70171826551,AMBLER AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+67.100,-157.850,False,False,isd
70171900490,SHUNGNAK AIRPORT,AK,2009-12-10 00:00:00,2020-10-15 00:00:00,+66.888,-157.162,False,False,isd
70173026535,INDIAN MOUNTAIN LRRS ARPT,AK,2005-01-01 00:00:00,2020-10-14 00:00:00,+66.000,-153.700,False,False,isd
70174026533,BETTLES AIRPORT,AK,1945-01-01 00:00:00,2020-10-15 00:00:00,+66.918,-151.519,True,False,isd
70178026529,RALPH M CALHOUN MEML ARPT,AK,1943-06-01 00:00:00,2020-10-15 00:00:00,+65.175,-152.107,True,False,isd
70194026413,FORT YUKON AIRPORT,AK,1973-01-01 00:00:00,2020-10-15 00:00:00,+66.567,-145.267,False,False,isd
70194546405,ARCTIC VILLAGE AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+68.115,-145.579,False,False,isd
70197526422,EAGLE AIRPORT,AK,2006-01-01 00:00:00,2020-10-14 00:00:00,+64.777,-141.148,False,False,isd
70199526628,CAPE DARBY REMOT COM OUTLT,AK,2005-01-01 00:00:00,2020-10-15 00:00:00,+64.550,-163.007,False,False,isd
70200026617,NOME AIRPORT,AK,1940-01-01 00:00:00,2020-10-15 00:00:00,+64.511,-165.440,True,False,isd
70200526647,ST MARY'S AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+62.062,-163.300,False,False,isd
70200626502,KALTAG AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+64.327,-158.742,False,False,isd
70203526704,SAVOONGA AIRPORT,AK,2006-01-08 00:00:00,2020-10-15 00:00:00,+63.687,-170.493,False,False,isd
70204026703,GAMBELL AIRPORT,AK,1987-06-03 00:00:00,2020-10-15 00:00:00,+63.767,-171.733,False,False,isd
70207026627,UNALAKLEET AIRPORT,AK,1943-06-01 00:00:00,2020-10-15 00:00:00,+63.883,-160.800,False,False,isd
70207526644,ANVIK AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+62.650,-160.183,False,False,isd
70208426650,EMMONAK,AK,2006-01-01 00:00:00,2020-08-28 00:00:00,+62.785,-164.491,False,False,isd
70212026646,CAPE ROMANZOF LRRS ARPT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+61.783,-166.033,False,False,isd
