station_id,station_name,start_date,end_date,latitude,longitude,in_basins,break_with_basins
470045,AFTON - JANESVILLE WWTP,1990-07-01 00:00:00,2016-10-01 00:00:00,42.6375,-89.0642,True,False
470124,ALMA DAM 4,1948-08-04 00:00:00,2020-08-02 00:00:00,44.3268,-91.9193,True,False
470308,ARLINGTON,1975-06-05 00:00:00,2017-04-06 00:00:00,43.3042,-89.3453,True,False
470349,ASHLAND EXP FARM,1948-08-01 00:00:00,2020-02-05 00:00:00,46.5830,-90.9678,True,False
470456,BABCOCK 1 WNW,1948-08-01 00:00:00,2020-07-07 00:00:00,44.3077,-90.1313,True,False
470855,BLACK RIVER FALLS SEWAGE,1948-08-01 00:00:00,2020-08-01 00:00:00,44.2903,-90.8538,True,False
470890,BLANCHARDVILLE,1948-09-23 00:00:00,2017-03-22 00:00:00,42.8169,-89.8627,True,False
471416,CHARMANY FARM,1963-07-18 00:00:00,2016-10-03 00:00:00,43.0596,-89.4819,True,False
471568,CHILTON,1948-08-01 00:00:00,2020-07-21 00:00:00,44.0328,-88.1468,True,False
471578,CHIPPEWA FALLS,1948-08-01 00:00:00,2020-07-01 00:00:00,44.9277,-91.4081,True,False
471667,CLINTON,1991-07-02 00:00:00,2017-04-03 00:00:00,42.5491,-88.8752,True,False
471676,CLINTONVILLE,1948-08-01 00:00:00,2020-07-02 00:00:00,44.6227,-88.7483,True,False
471897,CRIVITZ HIGH FALLS,1948-08-01 00:00:00,2020-07-13 00:00:00,45.3581,-88.1922,True,False
471913,CUBA CITY,1948-08-01 00:00:00,2020-08-03 00:00:00,42.6001,-90.4237,True,False
472447,EAU PLEINE RESERVOIR,1954-04-08 00:00:00,2020-07-21 00:00:00,44.7722,-89.7675,True,False
472973,FRIENDSHIP,1948-08-01 00:00:00,2020-08-02 00:00:00,43.9750,-89.8309,True,False
473038,GENOA DAM 8,1948-08-01 00:00:00,2020-08-03 00:00:00,43.5705,-91.2295,True,False
014995,GRANTSBURG,1950-07-01 00:00:00,2020-02-03 00:00:00,45.7728,-92.6886,False,False
473453,HARTFORD WWTP,1948-08-22 00:00:00,2016-10-27 00:00:00,43.3316,-88.4117,True,False
473511,HAYWARD RANGER STA,1991-08-02 00:00:00,2020-02-03 00:00:00,46.0002,-91.5074,True,False
473636,ARGONNE 1.5-NW,1999-02-01 00:00:00,2020-07-03 00:00:00,45.6735,-88.9043,True,False
473756,HORICON WWTP,1970-11-03 00:00:00,2017-04-01 00:00:00,43.4388,-88.6313,True,False
474396,LADYSMITH WTP,1948-08-01 00:00:00,2020-07-01 00:00:00,45.4429,-91.0898,True,False
474404,LA FARGE,1948-08-01 00:00:00,2020-08-01 00:00:00,43.5734,-90.6320,True,False
474546,LANCASTER,1948-08-01 00:00:00,2020-08-03 00:00:00,42.8667,-90.7000,True,False
474894,LUCK,1971-05-13 00:00:00,2020-07-07 00:00:00,45.5733,-92.4852,True,False
474937,LYNXVILLE DAM 9,1948-08-01 00:00:00,2020-08-01 00:00:00,43.2118,-91.0985,True,False
475120,MARSHFIELD EXP FARM,1948-12-01 00:00:00,2020-07-01 00:00:00,44.6411,-90.1333,True,False
475255,MEDFORD,1948-08-01 00:00:00,2020-08-04 00:00:00,45.1307,-90.3438,True,False
475335,MENOMONIE,1948-08-01 00:00:00,2020-07-01 00:00:00,44.8743,-91.9364,True,False
475352,MERCER RANGER STA,1948-08-01 00:00:00,2020-02-03 00:00:00,46.1683,-90.0722,True,False
475364,MERRILL,1948-08-01 00:00:00,2020-07-06 00:00:00,45.1785,-89.6615,True,False
475524,MINONG RANGER STATION,1948-08-01 00:00:00,2020-02-04 00:00:00,46.1006,-91.8178,False,False
475948,NEW RICHMOND,1952-07-17 00:00:00,2020-06-01 00:00:00,45.1166,-92.5644,True,False
476398,PARK FALLS,1948-08-01 00:00:00,2020-02-03 00:00:00,45.9333,-90.4500,True,False
476510,PESHTIGO,1948-08-01 00:00:00,2020-07-07 00:00:00,45.0282,-87.7359,True,False
476518,PHELPS,1948-08-01 00:00:00,2020-07-02 00:00:00,46.0663,-89.0752,True,False
476718,PORTAGE WWTP,1948-08-01 00:00:00,2017-03-05 00:00:00,43.5306,-89.4370,True,False
476854,PRENTICE,1948-08-01 00:00:00,2020-02-03 00:00:00,45.5463,-90.3129,True,False
476939,RAINBOW RSVR-LK TOMAHAWK,1948-08-01 00:00:00,2020-07-01 00:00:00,45.8341,-89.5472,True,False
477132,RICE LAKE,1948-08-01 00:00:00,2020-07-09 00:00:00,45.4167,-91.7725,True,False
477140,RICE RESERVOIR-TOMAHAWK,1949-11-01 00:00:00,2020-07-06 00:00:00,45.5397,-89.7477,True,False
478027,SPOONER AG RESEARCH STATION,1948-08-01 00:00:00,2020-02-03 00:00:00,45.8236,-91.8761,True,False
478259,STRUM 4 S,1948-08-01 00:00:00,2020-08-02 00:00:00,44.4965,-91.3965,True,False
478267,STURGEON BAY EXP FARM,1948-08-01 00:00:00,2020-07-01 00:00:00,44.8799,-87.3358,True,False
478316,SULLIVAN 3SE,1994-09-01 00:00:00,2017-04-02 00:00:00,42.9675,-88.5497,True,False
478515,TOMAH RANGER STATION  2,1948-08-01 00:00:00,2020-08-03 00:00:00,43.9713,-90.4679,True,False
478589,TREMPEALEAU DAM 6,1948-08-01 00:00:00,2020-08-02 00:00:00,43.9994,-91.4378,True,False
479176,WHITE LAKE 1 SE,1958-02-01 00:00:00,2020-07-02 00:00:00,45.1452,-88.7416,True,False
479218,WILLARD,1948-08-01 00:00:00,2020-08-10 00:00:00,44.7313,-90.7216,True,False
479304,WINTER,1966-05-04 00:00:00,2019-11-05 00:00:00,45.7992,-90.9947,True,False
480697,BIG PINEY UP&L,1992-11-13 00:00:00,2020-08-03 00:00:00,42.5364,-110.1127,False,False
481000,BOYSEN DAM,1948-08-01 00:00:00,2020-08-10 00:00:00,43.4054,-108.1634,True,False
481165,BUFFALO,1948-08-01 00:00:00,2020-08-01 00:00:00,44.3545,-106.6994,True,False
482696,DOUGLAS 17NE,1957-09-27 00:00:00,2020-07-01 00:00:00,42.9533,-105.1650,True,False
482715,DUBOIS,1949-08-01 00:00:00,2020-08-02 00:00:00,43.5398,-109.6552,True,False
482725,DULL CENTER 1SE,1948-08-01 00:00:00,2020-06-09 00:00:00,43.4117,-104.9614,True,False
483050,ENCAMPMENT,1948-08-01 00:00:00,2020-07-01 00:00:00,41.2058,-106.7883,True,False
484205,HAMILTON DOME,1950-06-20 00:00:00,2018-09-07 00:00:00,43.7731,-108.5727,False,False
484930,JELM 2S,1948-08-01 00:00:00,2020-01-22 00:00:00,41.0599,-106.0263,True,False
485345,LAKE YELLOWSTONE,1948-08-01 00:00:00,2020-08-08 00:00:00,44.5621,-110.3986,True,False
485371,LANCE CREEK 1W,1950-08-01 00:00:00,2020-07-07 00:00:00,43.0389,-104.6633,True,False
486132,MEDICINE BOW F&P,2006-12-10 00:00:00,2017-10-25 00:00:00,41.8998,-106.2059,False,False
024088,MOORCROFT 3S,1948-11-01 00:00:00,2012-12-23 00:00:00,44.2169,-104.9291,False,False
486555,MOUNTAIN VIEW,1966-03-30 00:00:00,2020-07-07 00:00:00,41.2659,-110.3375,True,False
486597,MUD SPRINGS,1953-05-09 00:00:00,2020-08-12 00:00:00,41.3185,-108.9176,True,False
486660,NEWCASTLE,1948-08-01 00:00:00,2020-07-01 00:00:00,43.8497,-104.1886,True,False
486875,OREGON TRAIL CROSSING,1948-08-01 00:00:00,2020-08-03 00:00:00,42.5393,-108.1872,True,False
486935,OSAGE,1950-03-09 00:00:00,2012-08-07 00:00:00,43.9781,-104.4194,True,False
487105,PATHFINDER DAM,1948-08-01 00:00:00,2020-08-13 00:00:00,42.4717,-106.8527,True,False
487200,PHILLIPS,1948-08-01 00:00:00,2020-03-02 00:00:00,41.6263,-104.4936,True,False
487375,POWDER RIVER (SCHOOL),1958-10-06 00:00:00,2020-08-01 00:00:00,43.0352,-106.9895,True,False
487388,POWELL FIELD STATION,1966-08-08 00:00:00,2020-08-03 00:00:00,44.7764,-108.7590,True,False
487545,RECLUSE,1948-08-01 00:00:00,2013-09-25 00:00:00,44.7408,-105.7261,True,False
487760,RIVERTON,1955-09-19 00:00:00,2020-08-03 00:00:00,43.0307,-108.3743,True,False
024027,ROCK SPRINGS AP,1948-08-01 00:00:00,2017-05-08 00:00:00,41.5947,-109.0530,False,False
487995,SARATOGA 4N,1948-08-01 00:00:00,2017-10-26 00:00:00,41.5047,-106.7888,True,False
488070,SEMINOE DAM,1948-08-01 00:00:00,2020-05-04 00:00:00,42.1569,-106.9153,True,False
488192,SHIRLEY BASIN,1961-06-19 00:00:00,2018-10-01 00:00:00,42.3703,-106.1049,True,False
488626,STORY,1950-04-15 00:00:00,2020-07-01 00:00:00,44.5767,-106.9062,True,False
488852,TENSLEEP 4NE,1964-05-23 00:00:00,2020-08-01 00:00:00,44.0648,-107.3820,True,False
488858,TENSLEEP 16SSE,1979-09-01 00:00:00,2020-08-01 00:00:00,43.8111,-107.3653,True,False
488875,THERMOPOLIS,1949-08-01 00:00:00,2020-08-03 00:00:00,43.6483,-108.2037,True,False
488888,THERMOPOLIS 21WNW,1951-05-24 00:00:00,2013-08-06 00:00:00,43.7230,-108.6963,True,False
489615,WHEATLAND 4 N,1948-08-01 00:00:00,2020-02-11 00:00:00,42.1106,-104.9492,True,False
489770,WORLAND,1964-03-16 00:00:00,2020-08-05 00:00:00,44.0113,-107.9684,True,False
