station_id,station_name,state,start_date,end_date,latitude,longitude,in_basins,break_with_basins,network,start_date_to_use,end_date_to_use
69023024255,WHIDBEY ISLAND NAS,WA,1990-01-01 00:00:00,2009-06-02 00:00:00,+48.350,-122.667,False,False,isd,2006-12-01 08:00:00,2009-06-02 23:00:00
69960403145,YUMA MCAS,AZ,1990-01-01 00:00:00,2009-12-31 00:00:00,+32.650,-114.617,False,False,isd,2008-01-01 00:00:00,2009-12-31 23:00:00
70000126492,PORTAGE GLACIER,AK,2006-01-01 00:00:00,2020-10-14 00:00:00,+60.785,-148.839,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
70026027502,W POST-WILL ROGERS MEMORIAL A,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+71.283,-156.782,False,False,isd,2005-01-01 00:00:00,2019-12-31 23:00:00
70030027503,WAINWRIGHT AIRPORT,AK,1999-11-02 00:00:00,2020-10-01 00:00:00,+70.639,-159.995,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
70063727406,DEADHORSE AIRPORT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+70.192,-148.477,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
70104026631,CAPE LISBURNE LRRS AIRPORT,AK,2006-01-01 00:00:00,2020-10-14 00:00:00,+68.867,-166.133,False,False,isd,2019-10-30 04:00:00,2019-10-30 04:00:00
70133026616,RALPH WIEN MEMORIAL AIRPORT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+66.867,-162.633,False,False,isd,2005-01-01 00:00:00,2019-12-31 23:00:00
70133326643,DEERING AIRPORT,AK,1999-01-02 00:00:00,2020-10-15 00:00:00,+66.069,-162.764,False,False,isd,2005-01-01 00:00:00,2019-12-31 21:00:00
70133899999,CHEVAK AIRPORT,AK,2009-02-10 00:00:00,2020-10-14 00:00:00,+61.533,-165.583,False,False,isd,2009-06-21 18:00:00,2009-06-21 18:00:00
70148626642,KIVALINA AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+67.732,-164.548,False,False,isd,2006-01-01 00:00:00,2019-12-31 21:00:00
70174026533,BETTLES AIRPORT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+66.918,-151.519,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
70178026529,RALPH M CALHOUN MEML ARPT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+65.175,-152.107,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
70197526422,EAGLE AIRPORT,AK,2006-01-01 00:00:00,2020-10-14 00:00:00,+64.777,-141.148,False,False,isd,2006-01-01 00:00:00,2019-12-31 21:00:00
70200026617,NOME AIRPORT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+64.511,-165.440,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
70200626502,KALTAG AIRPORT,AK,2006-01-01 00:00:00,2020-10-15 00:00:00,+64.327,-158.742,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
70219026615,BETHEL AIRPORT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+60.785,-161.829,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
70231026510,MCGRATH AIRPORT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+62.957,-155.610,True,False,isd,2007-01-01 00:00:00,2019-12-31 21:00:00
70231526536,TATALINA LRRS AIRPORT,AK,2006-01-01 00:00:00,2020-10-14 00:00:00,+62.894,-155.976,False,False,isd,2019-11-07 01:00:00,2019-11-07 01:00:00
70251026528,TALKEETNA AIRPORT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+62.320,-150.095,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
70259026523,KENAI MUNICIPAL AIRPORT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+60.580,-151.239,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
70260026435,NENANA MUNICIPAL AIRPORT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+64.550,-149.072,False,False,isd,2005-01-01 00:00:00,2019-12-31 23:00:00
70261026411,FAIRBANKS INTERNATIONAL,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+64.804,-147.876,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
70267026415,ALLEN ARMY AIRFIELD,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+63.994,-145.721,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
70271026425,GULKANA AIRPORT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+62.159,-145.459,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
70272526491,LAKE HOOD SEAPLANE BASE,AK,2002-01-01 00:00:00,2020-10-15 00:00:00,+61.178,-149.966,False,False,isd,2005-01-01 00:00:00,2019-12-31 23:00:00
70273026451,TED STEVENS ANCHORAGE INTL,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+61.169,-150.028,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
70273526409,MERRILL FIELD AIRPORT,AK,1990-01-01 00:00:00,2020-10-15 00:00:00,+61.217,-149.855,False,False,isd,2005-01-01 00:00:00,2019-12-31 23:00:00
70274025331,PALMER MUNICIPAL AIRPORT,AK,1999-01-01 00:00:00,2020-10-15 00:00:00,+61.596,-149.092,False,False,isd,2005-01-01 00:00:00,2019-12-31 23:00:00
